"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
183,"Vince Carter",4088091,39,"MEM","NBA","SG",60,3,1005,133,343,0.388,59,169,0.349,74,174,0.425,0.474,70,84,0.833,31,115,146,56,38,16,35,101,395
185,"Alan Anderson",4e+06,33,"WAS","NBA","SG",13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65
208,"Evan Turner",3425510,27,"BOS","NBA","SG",81,12,2271,343,753,0.456,20,83,0.241,323,670,0.482,0.469,148,179,0.827,50,347,397,359,80,28,169,139,854
212,"Anthony Morrow",3344000,30,"OKC","NBA","SG",68,6,926,136,333,0.408,79,204,0.387,57,129,0.442,0.527,29,39,0.744,10,52,62,24,22,5,17,64,380
214,"Will Barton",3333333,25,"DEN","NBA","SG",82,1,2353,425,983,0.432,112,325,0.345,313,658,0.476,0.489,216,268,0.806,59,417,476,203,71,39,139,147,1178
218,"Randy Foye",3270000,32,"OKC","NBA","SG",27,1,572,52,149,0.349,25,81,0.309,27,68,0.397,0.433,22,27,0.815,8,43,51,49,13,13,28,48,151
219,"Ben McLemore",3156600,22,"SAC","NBA","SG",68,53,1443,195,455,0.429,67,185,0.362,128,270,0.474,0.502,74,103,0.718,34,114,148,79,52,10,99,140,531
222,"Austin Rivers",3100000,23,"LAC","NBA","SG",67,7,1464,226,516,0.438,62,185,0.335,164,331,0.495,0.498,79,116,0.681,22,108,130,99,48,9,61,137,593
225,"Jeremy Lamb",3034356,23,"CHO","NBA","SG",66,0,1227,230,510,0.451,56,181,0.309,174,329,0.529,0.506,64,88,0.727,44,208,252,77,42,30,50,105,580
232,"Jerryd Bayless",3e+06,27,"MIL","NBA","SG",52,18,1505,185,437,0.423,101,231,0.437,84,206,0.408,0.539,70,90,0.778,21,120,141,163,47,11,73,111,541
238,"Kentavious Caldwell-Pope",2891760,22,"DET","NBA","SG",76,76,2789,403,960,0.42,114,369,0.309,289,591,0.489,0.479,185,228,0.811,70,212,282,138,110,17,105,167,1105
240,"Nik Stauskas",2869440,22,"PHI","NBA","SG",73,35,1809,210,545,0.385,106,325,0.326,104,220,0.473,0.483,91,118,0.771,23,160,183,138,44,20,94,115,617
245,"Manu Ginobili",2814000,38,"SAS","NBA","SG",58,0,1134,197,435,0.453,70,179,0.391,127,256,0.496,0.533,91,112,0.813,26,120,146,177,66,11,99,99,555
253,"C.J. McCollum",2525160,24,"POR","NBA","SG",80,80,2780,641,1431,0.448,197,472,0.417,444,959,0.463,0.517,187,226,0.827,47,212,259,341,97,23,196,187,1666
256,"Leandro Barbosa",2500000,33,"GSW","NBA","SG",68,0,1079,171,370,0.462,39,110,0.355,132,260,0.508,0.515,52,62,0.839,28,89,117,82,44,10,53,107,433
278,"Zach LaVine",2148360,20,"MIN","NBA","SG",82,33,2294,433,959,0.452,123,316,0.389,310,643,0.482,0.516,161,203,0.793,27,201,228,251,69,17,155,193,1150
280,"Devin Booker",2127840,19,"PHO","NBA","SG",76,51,2108,367,867,0.423,99,289,0.343,268,578,0.464,0.48,215,256,0.84,27,160,187,200,44,20,160,225,1048
283,"Gary Neal",2100000,31,"WAS","NBA","SG",40,2,807,151,325,0.465,41,100,0.41,110,225,0.489,0.528,47,55,0.855,11,72,83,47,20,1,29,55,390
285,"Jeremy Lin",2100000,27,"CHO","NBA","SG",78,13,2048,300,728,0.412,76,226,0.336,224,502,0.446,0.464,238,292,0.815,42,211,253,235,58,42,150,165,914
287,"Zoran Dragic",2050397,25,"MIA","NBA","SG",10,1,62,9,22,0.409,3,9,0.333,6,13,0.462,0.477,1,2,0.5,3,2,5,4,2,0,5,5,22
302,"James Young",1749840,20,"BOS","NBA","SG",29,0,199,11,36,0.306,6,26,0.231,5,10,0.5,0.389,1,4,0.25,4,22,26,9,6,1,5,17,29
303,"Rashad Vaughn",1733040,19,"MIL","NBA","SG",70,6,1001,81,266,0.305,43,147,0.293,38,119,0.319,0.385,12,15,0.8,11,77,88,39,29,16,28,73,217
311,"Gary Harris",1587480,21,"DEN","NBA","SG",76,76,2439,359,765,0.469,105,297,0.354,254,468,0.543,0.538,109,133,0.82,54,166,220,147,97,18,98,143,932
