"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
325,"Amar'e Stoudemire",1499187,33,"MIA","NBA","C",52,36,762,125,221,0.566,0,0,,125,221,0.566,0.566,50,67,0.746,65,157,222,27,18,41,47,92,300
329,"Samuel Dalembert",1499187,33,"NYK","NBA","C",32,21,544,57,130,0.438,0,0,,57,130,0.438,0.438,14,20,0.7,53,115,168,29,14,41,39,70,128
335,"Gorgui Dieng",1474440,26,"MIN","NBA","C",82,39,2220,308,579,0.532,6,20,0.3,302,559,0.54,0.537,205,248,0.827,157,428,585,143,94,96,140,219,827
338,"Mason Plumlee",1415520,25,"POR","NBA","C",82,82,2084,267,517,0.516,0,4,0,267,513,0.52,0.516,215,335,0.642,201,427,628,226,68,85,154,253,749
342,"Andrea Bargnani",1362900,30,"BRK","NBA","C",46,0,634,127,279,0.455,3,16,0.188,124,263,0.471,0.461,47,57,0.825,28,69,97,18,4,9,26,61,304
349,"Nikola Jokic",1300000,20,"DEN","NBA","C",80,55,1733,307,600,0.512,28,84,0.333,279,516,0.541,0.535,154,190,0.811,181,379,560,189,79,50,104,208,796
350,"Sasha Kaun",1300000,30,"CLE","NBA","C",24,0,95,9,17,0.529,0,0,,9,17,0.529,0.529,4,9,0.444,12,14,26,3,4,5,7,11,22
356,"JaVale McGee",1270964,28,"DAL","NBA","C",34,2,370,77,134,0.575,0,1,0,77,133,0.579,0.575,18,36,0.5,53,80,133,3,5,26,21,49,172
358,"Clint Capela",1242720,21,"HOU","NBA","C",77,35,1471,231,397,0.582,0,1,0,231,396,0.583,0.582,80,211,0.379,194,300,494,47,59,92,60,190,542
362,"Boban Marjanovic",1200000,27,"SAS","NBA","C",54,4,508,105,174,0.603,0,0,,105,174,0.603,0.603,87,114,0.763,73,121,194,21,12,23,29,54,297
366,"Rudy Gobert",1175880,23,"UTA","NBA","C",61,60,1932,198,354,0.559,0,0,,198,354,0.559,0.559,161,283,0.569,208,460,668,91,45,135,114,163,557
382,"Cole Aldrich",1100600,27,"LAC","NBA","C",60,5,800,134,225,0.596,0,0,,134,225,0.596,0.596,60,84,0.714,86,202,288,50,47,68,64,139,328
396,"Walter Tavares",1e+06,23,"ATL","NBA","C",11,0,73,11,19,0.579,0,0,,11,19,0.579,0.579,3,8,0.375,7,14,21,3,1,6,5,8,25
400,"Hassan Whiteside",981348,26,"MIA","NBA","C",73,43,2125,413,682,0.606,0,0,,413,682,0.606,0.606,214,329,0.65,238,627,865,30,44,269,137,201,1040
401,"Robert Sacre",981348,26,"LAL","NBA","C",25,1,320,31,75,0.413,0,0,,31,75,0.413,0.413,25,38,0.658,32,40,72,14,4,10,12,43,87
406,"Dewayne Dedmon",947278,26,"ORL","NBA","C",58,20,705,99,177,0.559,0,0,,99,177,0.559,0.559,57,76,0.75,67,161,228,13,22,46,32,109,255
408,"Jeff Withey",947276,25,"UTA","NBA","C",51,10,658,87,162,0.537,0,2,0,87,160,0.544,0.537,43,59,0.729,56,117,173,20,21,53,28,75,217
418,"Mike Muscala",947276,24,"ATL","NBA","C",60,0,565,76,152,0.5,12,39,0.308,64,113,0.566,0.539,31,39,0.795,38,79,117,34,13,27,27,71,195
420,"Elton Brand",890693,36,"PHI","NBA","C",17,1,225,31,72,0.431,0,1,0,31,71,0.437,0.431,8,9,0.889,9,54,63,18,9,8,11,32,70
430,"Jarnell Stokes",845059,22,"MIA","NBA","C",5,0,14,3,5,0.6,0,0,,3,5,0.6,0.6,1,2,0.5,0,2,2,1,1,0,0,1,7
437,"Tarik Black",845059,24,"LAL","NBA","C",39,0,496,57,104,0.548,0,0,,57,104,0.548,0.548,19,45,0.422,44,113,157,16,14,18,22,78,133
443,"Cameron Bairstow",845059,25,"CHI","NBA","C",18,2,103,13,40,0.325,1,5,0.2,12,35,0.343,0.338,7,8,0.875,4,24,28,6,2,3,4,19,34
463,"Salah Mejri",525093,29,"DAL","NBA","C",34,6,397,49,78,0.628,0,1,0,49,77,0.636,0.628,27,46,0.587,41,82,123,10,8,36,23,54,125
466,"Cristiano Felicio",525090,23,"CHI","NBA","C",31,4,321,40,72,0.556,0,4,0,40,68,0.588,0.556,25,35,0.714,30,72,102,26,6,13,13,31,105
