"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
351,"Shabazz Napier",1294440,24,"ORL","NBA","PG",55,0,600,68,201,0.338,34,104,0.327,34,97,0.351,0.423,33,45,0.733,9,46,55,97,23,1,46,38,203
352,"Tyus Jones",1282080,19,"MIN","NBA","PG",37,0,573,56,156,0.359,16,53,0.302,40,103,0.388,0.41,28,39,0.718,7,40,47,108,31,3,33,33,156
367,"Toney Douglas",1164858,29,"NOP","NBA","PG",61,18,1262,183,445,0.411,81,203,0.399,102,242,0.421,0.502,84,99,0.848,25,118,143,157,70,5,64,131,531
368,"Archie Goodwin",1160160,21,"PHO","NBA","PG",57,13,1114,176,421,0.418,23,98,0.235,153,323,0.474,0.445,130,193,0.674,27,115,142,118,27,13,100,84,505
373,"Matthew Dellavedova",1147280,25,"CLE","NBA","PG",76,14,1867,207,511,0.405,98,239,0.41,109,272,0.401,0.501,57,66,0.864,33,129,162,337,44,9,116,178,569
379,"Ish Smith",1100602,27,"PHI","NBA","PG",50,50,1622,299,739,0.405,46,137,0.336,253,602,0.42,0.436,89,133,0.669,29,184,213,348,64,18,130,95,733
390,"Donald Sloan",1015421,28,"BRK","NBA","PG",61,33,1318,154,350,0.44,38,99,0.384,116,251,0.462,0.494,78,104,0.75,17,156,173,268,32,4,80,73,424
391,"Raul Neto",1e+06,23,"UTA","NBA","PG",81,53,1499,180,418,0.431,64,162,0.395,116,256,0.453,0.507,52,70,0.743,17,103,120,174,62,2,109,122,476
393,"Joseph Young",1e+06,23,"IND","NBA","PG",41,0,384,62,169,0.367,10,46,0.217,52,123,0.423,0.396,20,25,0.8,6,44,50,65,15,0,33,30,154
402,"Pablo Prigioni",981348,38,"LAC","NBA","PG",59,3,823,55,147,0.374,28,95,0.295,27,52,0.519,0.469,7,8,0.875,38,76,114,130,53,1,49,82,145
410,"Ray McCallum",947276,24,"MEM","NBA","PG",10,3,219,28,79,0.354,10,26,0.385,18,53,0.34,0.418,3,5,0.6,2,14,16,27,7,3,13,15,69
411,"Seth Curry",947276,25,"SAC","NBA","PG",44,9,692,102,224,0.455,50,111,0.45,52,113,0.46,0.567,45,54,0.833,9,51,60,67,22,3,36,41,299
423,"Tim Frazier",845059,25,"NOP","NBA","PG",16,1,469,76,169,0.45,13,31,0.419,63,138,0.457,0.488,45,59,0.763,15,56,71,120,23,1,38,42,210
429,"Langston Galloway",845059,24,"NYK","NBA","PG",82,7,2033,231,588,0.393,77,224,0.344,154,364,0.423,0.458,86,114,0.754,43,245,288,207,77,22,61,177,625
434,"Russ Smith",816482,24,"MEM","NBA","PG",15,0,66,7,22,0.318,1,5,0.2,6,17,0.353,0.341,8,13,0.615,1,8,9,11,5,1,7,5,23
440,"Spencer Dinwiddie",845059,22,"DET","NBA","PG",12,0,159,19,54,0.352,1,10,0.1,18,44,0.409,0.361,19,33,0.576,4,13,17,22,3,0,7,20,58
450,"Toney Douglas",6e+05,29,"NOP","NBA","PG",61,18,1262,183,445,0.411,81,203,0.399,102,242,0.421,0.502,84,99,0.848,25,118,143,157,70,5,64,131,531
458,"T.J. McConnell",525093,23,"PHI","NBA","PG",81,17,1606,218,464,0.47,31,89,0.348,187,375,0.499,0.503,26,41,0.634,43,207,250,367,95,10,140,114,493
460,"Marcelo Huertas",525093,32,"LAL","NBA","PG",53,0,869,97,230,0.422,16,61,0.262,81,169,0.479,0.457,27,29,0.931,18,72,90,182,26,7,80,76,237
472,"Andre Miller",396844,39,"SAS","NBA","PG",13,4,181,23,48,0.479,1,4,0.25,22,44,0.5,0.49,9,13,0.692,6,21,27,29,7,0,12,14,56
482,"Gal Mekel",315760,26,"NOP","NBA","PG",4,0,43,3,20,0.15,0,3,0,3,17,0.176,0.15,0,0,,0,1,1,13,2,0,2,1,6
486,"Ty Lawson",265058,28,"IND","NBA","PG",13,1,235,28,67,0.418,5,14,0.357,23,53,0.434,0.455,3,6,0.5,6,25,31,57,10,1,13,16,64
489,"Bryce Cotton",228663,23,"MEM","NBA","PG",5,0,6,2,2,1,0,0,,2,2,1,1,0,0,,0,0,0,0,0,0,0,0,4
491,"Andrew Goudelock",200600,27,"HOU","NBA","PG",8,0,50,9,20,0.45,1,9,0.111,8,11,0.727,0.475,3,4,0.75,1,1,2,4,6,2,7,4,22
492,"Jorge Gutierrez",190000,27,"CHO","NBA","PG",12,0,63,6,11,0.545,0,2,0,6,9,0.667,0.545,10,11,0.909,0,7,7,17,3,0,6,3,22
495,"Phil Pressey",172739,24,"PHO","NBA","PG",9,0,113,9,23,0.391,0,5,0,9,18,0.5,0.391,4,7,0.571,3,5,8,29,7,3,14,14,22
497,"Tony Wroten",167406,22,"PHI","NBA","PG",8,3,144,22,65,0.338,3,17,0.176,19,48,0.396,0.362,20,37,0.541,2,19,21,20,3,0,29,11,67
499,"Jordan McRae",142084,24,"CLE","NBA","PG",15,1,113,23,52,0.442,7,11,0.636,16,41,0.39,0.51,9,13,0.692,2,10,12,15,0,1,9,10,62
503,"Jordan Farmar",111683,29,"MEM","NBA","PG",12,10,291,42,100,0.42,16,45,0.356,26,55,0.473,0.5,10,10,1,4,21,25,37,15,2,18,22,110
505,"Phil Pressey",111444,24,"PHO","NBA","PG",9,0,113,9,23,0.391,0,5,0,9,18,0.5,0.391,4,7,0.571,3,5,8,29,7,3,14,14,22
506,"Lorenzo Brown",111444,25,"PHO","NBA","PG",8,0,61,8,25,0.32,1,8,0.125,7,17,0.412,0.34,3,4,0.75,0,7,7,11,3,1,9,4,20
507,"Ray McCallum",111444,24,"MEM","NBA","PG",10,3,219,28,79,0.354,10,26,0.385,18,53,0.34,0.418,3,5,0.6,2,14,16,27,7,3,13,15,69
508,"Lorenzo Brown",111444,25,"PHO","NBA","PG",8,0,61,8,25,0.32,1,8,0.125,7,17,0.412,0.34,3,4,0.75,0,7,7,11,3,1,9,4,20
509,"Jorge Gutierrez",111444,27,"CHO","NBA","PG",12,0,63,6,11,0.545,0,2,0,6,9,0.667,0.545,10,11,0.909,0,7,7,17,3,0,6,3,22
